iter	Passed	Remaining
192	9268	14743
193	9325	14708
194	9375	14663
195	9433	14631
196	9482	14584
197	9527	14531
198	9574	14482
199	9629	14443
200	9674	14390
201	9726	14348
202	9779	14308
203	9833	14267
204	9874	14210
205	9921	14159
206	9972	14115
207	10020	14067
208	10079	14033
209	10135	13996
210	10182	13946
211	10230	13898
212	10280	13852
213	10333	13809
214	10383	13763
215	10435	13720
216	10483	13671
217	10532	13624
218	10576	13571
219	10627	13526
220	10684	13488
221	10746	13457
222	10798	13413
223	10846	13363
224	10892	13312
225	10942	13267
226	10989	13216
227	11037	13167
228	11080	13112
229	11130	13066
230	11181	13020
231	11231	12974
232	11283	12930
233	11328	12877
234	11372	12824
235	11420	12775
236	11472	12731
237	11522	12684
238	11571	12636
239	11626	12595
240	11675	12547
241	11738	12514
242	11793	12472
243	11840	12422
244	11886	12371
245	11935	12323
246	11988	12279
247	12034	12228
248	12081	12178
249	12127	12127
250	12173	12076
251	12223	12029
252	12291	12000
253	12447	12055
254	12536	12045
255	12625	12033
256	12750	12055
257	12877	12078
258	12980	12078
259	13096	12089
260	13225	12110
261	13357	12134
262	13486	12153
263	13628	12183
264	13770	12211
265	13913	12239
266	14055	12265
267	14195	12288
268	14343	12317
269	14482	12336
270	14632	12364
271	14779	12388
272	14920	12406
273	15066	12426
274	15215	12449
275	15361	12467
276	15505	12482
277	15640	12489
278	15787	12505
279	15945	12528
280	16090	12540
281	16234	12549
282	16381	12561
283	16523	12566
284	16657	12566
285	16801	12572
286	16934	12567
287	17073	12568
288	17213	12567
289	17363	12573
290	17514	12579
291	17656	12577
292	17799	12574
293	17940	12570
294	18083	12566
295	18227	12561
296	18374	12559
297	18523	12556
298	18662	12545
299	18810	12540
300	18955	12532
301	19098	12521
302	19242	12510
303	19384	12497
304	19532	12487
305	19683	12478
306	19832	12467
307	19973	12451
308	20121	12437
309	20292	12437
310	20420	12409
311	20565	12391
312	20711	12373
313	20857	12354
314	20998	12332
315	21142	12310
316	21287	12288
317	21431	12265
318	21577	12243
319	21738	12227
320	21883	12202
321	22030	12178
322	22190	12160
323	22334	12132
324	22485	12107
325	22635	12081
326	22798	12061
327	22950	12034
328	23101	12006
329	23277	11991
330	23433	11964
331	23588	11936
332	23755	11913
333	23902	11879
334	24052	11846
335	24199	11811
336	24338	11772
337	24486	11735
338	24632	11698
339	24777	11660
340	24921	11620
341	25072	11583
342	25222	11544
343	25362	11501
344	25507	11460
345	25660	11420
346	25798	11375
347	25948	11333
348	26103	11294
349	26252	11251
350	26379	11198
351	26497	11141
352	26645	11095
353	26785	11047
354	26937	11002
355	27085	10955
356	27235	10909
357	27383	10861
358	27532	10813
359	27683	10765
360	27846	10722
361	27999	10673
362	28150	10624
363	28304	10575
364	28448	10521
365	28593	10468
366	28741	10415
367	28889	10362
368	29074	10321
369	29263	10281
370	29399	10222
371	29552	10168
372	29703	10113
373	29847	10055
374	29994	9998
375	30141	9940
376	30280	9879
377	30399	9811
378	30531	9747
379	30685	9690
380	30837	9631
381	30988	9572
382	31153	9516
383	31304	9456
384	31456	9395
385	31606	9334
386	31753	9271
387	31922	9214
388	32073	9151
389	32225	9089
390	32369	9023
391	32515	8958
392	32656	8891
393	32805	8825
394	32952	8759
395	33123	8699
396	33282	8634
397	33449	8572
398	33599	8505
399	33750	8437
